Original Filename,New Filename,Meeting Name,Round,Document Name
ae7bc7eab258_20230822_meeting_administrative_research_working_group_minutes_01.pdf,デジタル臨時行政調査会作業部会_第22回_20230822_第22回 デジタル臨時行政調査会作業部会 議事録等.pdf,デジタル臨時行政調査会作業部会,22,第22回 デジタル臨時行政調査会作業部会 議事録等
55de06e14203_20230228_meeting_data_strategy_outline_05.pdf,データ戦略推進ワーキンググループ_第05回_20230228_資料４－２.pdf,データ戦略推進ワーキンググループ,5,資料４－２
3be926f3574a_20240318_meeting_mynumber-card-renewal_outline_01.pdf,次期個人番号カードタスクフォース_第04回_20240318_次期個人番号カードタスクフォース第４回資料.pdf,次期個人番号カードタスクフォース,4,次期個人番号カードタスクフォース第４回資料
4afbe7ac9783_20250117_meeting_digitalsign_modernization_minutes_01.pdf,電子署名法認定基準のモダナイズ検討会_第04回_20250117_議事録.pdf,電子署名法認定基準のモダナイズ検討会,4,議事録
2a518786745a_20240422_meeting_digital-garden-city-nation-wellbeing_outline_06.pdf,デジタル田園都市国家構想実現に向けた地域幸福度（Well-Being）指標の活用促進に関する検討会_回数不明_20240422_デジタル田園都市国家構想実現に向けた地域幸福度（Well-Being）指標の活用促進に関する検討会の開催について.pdf,デジタル田園都市国家構想実現に向けた地域幸福度（Well-Being）指標の活用促進に関する検討会,,デジタル田園都市国家構想実現に向けた地域幸福度（Well-Being）指標の活用促進に関する検討会の開催について
16802a97e842_20220802_meeting_mobility_outline_01.pdf,デジタル交通社会に関する研究会_第04回_20220802_meeting_mobility_outline.pdf,デジタル交通社会に関する研究会,4,meeting_mobility_outline
0233d4060f67_20220315_meeting_administrative_research_working_group_outline_05.pdf,デジタル臨時行政調査会作業部会_第05回_20220315_観光庁説明資料.pdf,デジタル臨時行政調査会作業部会,5,観光庁説明資料
e1ce5a63e0f2_20240917_meeting_identification-guideline-revision_agenda_00.pdf,本人確認ガイドラインの改定に向けた有識者会議_第01回_20240917_議事次第.pdf,本人確認ガイドラインの改定に向けた有識者会議,1,議事次第
4838c1adfbc3_20240321_mynumbercard-promotion_outline_03.pdf,マイナンバーカード取得状況等調査_第08回_20240321_資料２-２.pdf,マイナンバーカード取得状況等調査,8,資料２-２
bcb280d66313_20220414_meeting_conception_minutes_05.pdf,デジタル社会構想会議_第04回_20220414_議事録.pdf,デジタル社会構想会議,4,議事録
d5897cd00a45_20220222_meeting_administrative_research_working_group_minutes_07.pdf,デジタル臨時行政調査会作業部会_第02回_20220222_第２回 デジタル臨時行政調査会作業部会 議事録等.pdf,デジタル臨時行政調査会作業部会,2,第２回 デジタル臨時行政調査会作業部会 議事録等
1be25b998fc0_20250304_meeting_identification-guideline-revision_outline_01.pdf,本人確認ガイドラインの改定に向けた有識者会議_第06回_20250304_本人確認ガイドライン改定方針.pdf,本人確認ガイドラインの改定に向けた有識者会議,6,本人確認ガイドライン改定方針
591148c7c872_20220830_meeting_administrative_research_working_group_minute_07.pdf,デジタル臨時行政調査会作業部会_第13回_20220830_議事録等.pdf,デジタル臨時行政調査会作業部会,13,議事録等
e37be61d3ea0_20230613_meeting_administrative_research_outline_13.pdf,デジタル臨時行政調査会_回数不明_20230613_デジタル原則を踏まえたアナログ規制の見直しに係る工程表のフォローアップ.pdf,デジタル臨時行政調査会,,デジタル原則を踏まえたアナログ規制の見直しに係る工程表のフォローアップ
306eab644549_20250527_meeting_executive_agenda_01.pdf,デジタル社会推進会議幹事会_第19回_20250527_議事次第.pdf,デジタル社会推進会議幹事会,19,議事次第
0aebcf980f26_20230817_meeting_councilsmynumber_all_check_summary_01.pdf,マイナンバー情報総点検本部_第02回_20230817_議事概要.pdf,マイナンバー情報総点検本部,2,議事概要
d4eadd43180e_20250602_meeting_technology-based-regulatory-reform_minutes_01.pdf,テクノロジーベースの規制改革推進委員会_第03回_20250602_第３回テクノロジーベースの規制改革推進委員会 議事録等.pdf,テクノロジーベースの規制改革推進委員会,3,第３回テクノロジーベースの規制改革推進委員会 議事録等
262d7b141d71_20230222_meeting_administrative_research_working_group_order_00.pdf,デジタル臨時行政調査会作業部会_第18回_20230222_262d7b141d71_20230222_meeting_administrative_research_working_group_order_00.pdf.pdf,デジタル臨時行政調査会作業部会,18,262d7b141d71_20230222_meeting_administrative_research_working_group_order_00.pdf
508ce4cd337f_20220310_meeting_administrative_research_working_group_outline_02.pdf,都市公園等の巡視・点検について_回数不明_20220310_508ce4cd337f_20220310_meeting_administrative_research_working_group_outline_02.pdf.pdf,都市公園等の巡視・点検について,,508ce4cd337f_20220310_meeting_administrative_research_working_group_outline_02.pdf
6befe22b9697_20230517_meeting_administrative_research_working_group_agenda_00.pdf,デジタル臨時行政調査会作業部会_第21回_20230517_議事次第.pdf,デジタル臨時行政調査会作業部会,21,議事次第
